2026-06-05 10:38:34,549 | INFO | framework | Loaded 0 testcase(s) from service=merchant_cas, file=sit_testcases_merchant_cas.xlsx, sheet=MERCHANT_CAS
2026-06-05 10:38:34,550 | INFO | framework | [cas] 10 test cases loaded
2026-06-05 10:38:34,580 | WARNING | framework | [cas] Auth API executed but token not found at path 'token' for tc_id=TC001
2026-06-05 10:38:34,602 | WARNING | framework | [cas] Auth API executed but token not found at path 'token' for tc_id=TC_AUTH_IB
2026-06-05 10:38:34,701 | INFO | framework | Execution completed. Summary={'total': 10, 'passed': 2, 'failed': 8, 'pass_percent': 20.0}
2026-06-05 10:39:14,434 | INFO | framework | Enabled services: merchant_cas, cas, acquiring
2026-06-05 10:39:14,435 | INFO | framework | Execution started at 2026-06-05T10:39:14.435409
2026-06-05 10:39:14,448 | INFO | framework | Loaded 10 testcase(s) from service=cas, file=sit_testcases.xlsx, sheet=SIT
2026-06-05 10:39:14,456 | INFO | framework | Loaded 0 testcase(s) from service=acquiring, file=sit_testcases_acquiring.xlsx, sheet=ACQUIRING
2026-06-05 10:39:14,460 | INFO | framework | Loaded 0 testcase(s) from service=merchant_cas, file=sit_testcases_merchant_cas.xlsx, sheet=MERCHANT_CAS
2026-06-05 10:39:14,461 | INFO | framework | [cas] 10 test cases loaded
2026-06-05 10:39:14,622 | INFO | framework | [cas] Auth token captured from tc_id=TC001 for channel=test
2026-06-05 10:39:14,748 | INFO | framework | [cas] Auth token captured from tc_id=TC_AUTH_IB for channel=ib
2026-06-05 10:39:32,747 | INFO | framework | Execution completed. Summary={'total': 10, 'passed': 10, 'failed': 0, 'pass_percent': 100.0}
2026-06-05 10:48:20,864 | INFO | framework | Enabled services: acquiring, merchant_cas, cas
2026-06-05 10:48:20,866 | INFO | framework | Execution started at 2026-06-05T10:48:20.866444
2026-06-05 10:48:20,904 | INFO | framework | Loaded 10 testcase(s) from service=cas, file=sit_testcases.xlsx, sheet=SIT
2026-06-05 10:48:20,934 | INFO | framework | Loaded 0 testcase(s) from service=acquiring, file=sit_testcases_acquiring.xlsx, sheet=ACQUIRING
2026-06-05 10:48:20,965 | INFO | framework | Loaded 0 testcase(s) from service=merchant_cas, file=sit_testcases_merchant_cas.xlsx, sheet=MERCHANT_CAS
2026-06-05 10:48:20,965 | INFO | framework | [cas] 10 test cases loaded
2026-06-05 10:48:21,132 | INFO | framework | [cas] Auth token captured from tc_id=TC001 for channel=test
2026-06-05 10:48:21,265 | INFO | framework | [cas] Auth token captured from tc_id=TC_AUTH_IB for channel=ib
2026-06-05 10:48:39,075 | INFO | framework | Execution completed. Summary={'total': 10, 'passed': 10, 'failed': 0, 'pass_percent': 100.0}
2026-06-05 10:50:08,213 | INFO | framework | Enabled services: merchant_cas, cas, acquiring
2026-06-05 10:50:08,214 | INFO | framework | Execution started at 2026-06-05T10:50:08.214331
2026-06-05 10:50:08,232 | INFO | framework | Loaded 10 testcase(s) from service=cas, file=sit_testcases.xlsx, sheet=SIT
2026-06-05 10:50:08,243 | INFO | framework | Loaded 0 testcase(s) from service=acquiring, file=sit_testcases_acquiring.xlsx, sheet=ACQUIRING
2026-06-05 10:50:08,258 | INFO | framework | Loaded 1 testcase(s) from service=merchant_cas, file=sit_testcases_merchant_cas.xlsx, sheet=MERCHANT_CAS
2026-06-05 10:50:08,258 | INFO | framework | [cas] 10 test cases loaded
2026-06-05 10:50:08,258 | INFO | framework | [merchant_cas] 1 test cases loaded
2026-06-05 10:50:08,414 | INFO | framework | [merchant_cas] Auth token captured from tc_id=TC001 for channel=test
2026-06-05 10:50:08,556 | INFO | framework | [cas] Auth token captured from tc_id=TC001 for channel=test
2026-06-05 10:50:08,677 | INFO | framework | [cas] Auth token captured from tc_id=TC_AUTH_IB for channel=ib
2026-06-05 10:50:26,432 | INFO | framework | Execution completed. Summary={'total': 11, 'passed': 11, 'failed': 0, 'pass_percent': 100.0}
2026-06-05 13:11:45,867 | INFO | framework | Enabled services: merchant_cas, cas, acquiring
2026-06-05 13:11:45,869 | INFO | framework | Execution started at 2026-06-05T13:11:45.869585
2026-06-05 13:11:45,921 | INFO | framework | Loaded 11 testcase(s) from service=cas, file=sit_testcases.xlsx, sheet=SIT
2026-06-05 13:11:45,949 | INFO | framework | Loaded 0 testcase(s) from service=acquiring, file=sit_testcases_acquiring.xlsx, sheet=ACQUIRING
2026-06-05 13:11:45,971 | INFO | framework | Loaded 1 testcase(s) from service=merchant_cas, file=sit_testcases_merchant_cas.xlsx, sheet=MERCHANT_CAS
2026-06-05 13:11:45,972 | INFO | framework | [cas] 11 test cases loaded
2026-06-05 13:11:45,972 | INFO | framework | [merchant_cas] 1 test cases loaded
2026-06-05 13:11:46,133 | INFO | framework | [merchant_cas] Auth token captured from tc_id=TC001 for channel=test
2026-06-05 13:11:46,317 | INFO | framework | [cas] Auth token captured from tc_id=TC001 for channel=test
2026-06-05 13:11:46,517 | INFO | framework | [cas] Auth token captured from tc_id=TC_AUTH_IB for channel=ib
2026-06-05 13:12:04,269 | INFO | framework | Execution completed. Summary={'total': 12, 'passed': 11, 'failed': 1, 'pass_percent': 91.67}
2026-06-05 15:49:11,537 | INFO | framework | Enabled services: cas, acquiring, merchant_cas
2026-06-05 15:49:11,539 | INFO | framework | Execution started at 2026-06-05T15:49:11.539889
2026-06-05 15:49:11,554 | INFO | framework | Loaded 11 testcase(s) from service=cas, file=sit_testcases.xlsx, sheet=SIT
2026-06-05 15:49:11,564 | INFO | framework | Loaded 0 testcase(s) from service=acquiring, file=sit_testcases_acquiring.xlsx, sheet=ACQUIRING
2026-06-05 15:49:11,570 | INFO | framework | Loaded 1 testcase(s) from service=merchant_cas, file=sit_testcases_merchant_cas.xlsx, sheet=MERCHANT_CAS
2026-06-05 15:49:11,570 | INFO | framework | [cas] 11 test cases loaded
2026-06-05 15:49:11,571 | INFO | framework | [merchant_cas] 1 test cases loaded
2026-06-05 15:49:11,733 | INFO | framework | [cas] Auth token captured from tc_id=TC001 for channel=test
2026-06-05 15:49:11,869 | INFO | framework | [cas] Auth token captured from tc_id=TC_AUTH_IB for channel=ib
2026-06-05 15:49:29,976 | INFO | framework | [merchant_cas] Auth token captured from tc_id=TC001 for channel=test
2026-06-05 15:49:30,014 | INFO | framework | Execution completed. Summary={'total': 12, 'passed': 10, 'failed': 2, 'pass_percent': 83.33}
2026-06-05 15:53:22,818 | INFO | framework | Enabled services: cas, merchant_cas, acquiring
